Edos List,,,,,,,,,,,
#,state,city,test code,test name,mrp,group,specimen type,method,temp,test schedule,tat
1,Maharashtra,Mumbai,ELISA023,test_1,7200,C6,Serum,EIA,2 - 8 °C,Tue / Fri 6 pm,Next Day 8 pm
2,Maharashtra,Mumbai,IMMU-O-116,test_2,3180,C6,3 ml Serum,CLIA,2 - 8 °C,Wed/ Sat 6 pm,3rd Day 7 pm
3,Maharashtra,Mumbai,BIOC-O-243,test_3,2000,C5,"10 ml random Urine. Collected in a acid wash metal free container, Use powder less gloves. Patient should avoid fish 3 days prior to specimen collection, use powder less gloves during collection",ICPMS,2 - 8 °C,Daily 3 pm,3rd day 5 pm
4,Maharashtra,Mumbai,BIOC-O-242,test_4,2000,C5,"10 ml aliquot of 24 Hrs Urine. Collected in a acid wash metal free container, Use powder less gloves. Mention volume. Patient should avoid fish 3 days prior to specimen collection, use powder less gloves during collection",ICPMS,2 - 8 °C,Daily 3 pm,3rd day 5 pm
5,Maharashtra,Mumbai,BIOC-O-237,test_5,2100,C5,"2 ml Serum In Metal Free Vacutainer, (Royal Blue K2 tube), Trace element serum tube, Patient should avoid fish 3 days prior to specimen collection, use powder less gloves during collection",ICPMS,2 - 8 °C,Daily 3 pm,3rd day 5 pm
6,Maharashtra,Mumbai,MOLBI167,test_6,4500,C6,3 ml Serum / 20 ml Urine,PCR,2 - 8 °C,Daily 3 pm,3rd day 5 pm
7,Maharashtra,Mumbai,HAEM-O-044,test_7,2300,C5,"3 ml EDTA Whole Blood, 3 ml Whole Blood Na Heparin or 2 ml Bone marrow in Na Heparin",Flow Cytometry,Room Temp,Daily 12 pm,Next day 7 pm
8,Maharashtra,Mumbai,MICRO083,test_8,2230,C6,Stool In Sterile Container,Vitek/ MALDITOF,2 - 8 °C,Daily 6 pm,5th Day 9 pm
9,Maharashtra,Mumbai,GENP-O-153,test_9,5500,C6,4 ml Whole Blood Sodium Heparin,FISH,2 - 8 °C,Daily 2 pm,8th Day 7 pm
10,Maharashtra,Mumbai,SERO044,test_10,400,C1,2 ml Serum,Agglutination,2 - 8 °C,Daily 9 am to 7 pm,Next day 7 pm
11,Maharashtra,Mumbai,SERO043,test_11,370,C1,2 ml Serum,Agglutination,2 - 8 °C,Daily 9 am to 7 pm,Same Day
12,Maharashtra,Mumbai,GENP-O-173,test_12,25000,C3,5 ml EDTA Whole Blood,NGS,2 - 8 °C,Daily 5 pm,22 Days
13,Maharashtra,Mumbai,HAEM-O-043,test_13,270,C1,3 ml EDTA Whole Blood,Automated Cell  Counter & Microscopy,2 - 8 °C,Daily 9 am to 8 pm,Same Day
14,Maharashtra,Mumbai,ELISA-O-142,test_14,3700,C6,"3 ml Serum, Clinical history reqd",EIA,2 - 8 °C,1st & 3rd Thu 5 pm,5th Day 7 pm
